,發生時間,發生地點,死亡受傷人數,車種,經度,緯度,data_id
1434,108年10月19日 08時00分00秒,彰化縣鹿港鎮頭南里頭庄巷1-21號前0.0公尺前,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.4741,24.10046,108a11434
1435,108年10月19日 08時27分00秒,苗栗縣頭屋鄉象山村濫坑道路口,死亡1;受傷0,自用-小客車;行人-人,120.859205,24.57855,108a11435
1436,108年10月19日 16時38分00秒,臺南市安南區宜居一街口 / 臺南市安南區生態街口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.18326,23.016920000000002,108a11436
1437,108年10月19日 23時09分59秒,臺南市麻豆區麻口里麻豆口10之13號前路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.22466999999999,23.178112,108a11437
1438,108年10月20日 01時38分00秒,臺南市關廟區中山路2段249號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.316558,22.961761,108a11438
1439,108年10月20日 02時00分00秒,宜蘭縣冬山鄉永興路1段48號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.77711799999999,24.654695,108a11439
1440,108年10月20日 05時19分00秒,高雄市三民區中華三路261號前0.0公尺前,死亡1;受傷0,行人-人;自用-小客車;計程車-小客車,120.2935,22.63544,108a11440
1441,108年10月20日 13時35分00秒,花蓮縣秀林鄉台8線 123公里東側,死亡1;受傷0,普通重型-機車,121.38791100000002,24.182883,108a11441
1442,108年10月20日 13時50分00秒,彰化縣員林市浮圳里員東路1段290號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.593698,23.962320000000002,108a11442
1443,108年10月20日 15時00分00秒,臺南市白河區白河里康樂路與172線路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.417047,23.345382,108a11443
1444,108年10月20日 17時55分30秒,桃園市龍潭區三水里龍新路三水段55巷前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小客車,121.160698,24.845156,108a11444
